location,wyt,month,date,val
# transition month Apr: start checking on Apr.30
# transition month Sep: start checking on Oct.1
# San Joaquin River at Vernalis (C-10)(30-day running avg of daily EC)
RSAN112,W,10,1,1
RSAN112,W,4,30,0.7
RSAN112,W,9,1,1
RSAN112,AN,10,1,1
RSAN112,AN,4,30,0.7
RSAN112,AN,9,1,1
RSAN112,BN,10,1,1
RSAN112,BN,4,30,0.7
RSAN112,BN,9,1,1
RSAN112,D,10,1,1
RSAN112,D,4,30,0.7
RSAN112,D,9,1,1
RSAN112,C,10,1,1
RSAN112,C,4,30,0.7
RSAN112,C,9,1,1
# San Joaquin River at Brandt Bridge (C-6)(30-day running avg of daily EC)
RSAN072,W,10,1,1
RSAN072,W,4,30,0.7
RSAN072,W,9,1,1
RSAN072,AN,10,1,1
RSAN072,AN,4,30,0.7
RSAN072,AN,9,1,1
RSAN072,BN,10,1,1
RSAN072,BN,4,30,0.7
RSAN072,BN,9,1,1
RSAN072,D,10,1,1
RSAN072,D,4,30,0.7
RSAN072,D,9,1,1
RSAN072,C,10,1,1
RSAN072,C,4,30,0.7
RSAN072,C,9,1,1
# Old River near Middle River (C-8)(30-day running avg of daily EC)
OLD_MID,W,10,1,1
OLD_MID,W,4,30,0.7
OLD_MID,W,9,1,1
OLD_MID,AN,10,1,1
OLD_MID,AN,4,30,0.7
OLD_MID,AN,9,1,1
OLD_MID,BN,10,1,1
OLD_MID,BN,4,30,0.7
OLD_MID,BN,9,1,1
OLD_MID,D,10,1,1
OLD_MID,D,4,30,0.7
OLD_MID,D,9,1,1
OLD_MID,C,10,1,1
OLD_MID,C,4,30,0.7
OLD_MID,C,9,1,1
# Old River at Tracy (P-12)(30-day running avg of daily EC)
ROLD059,W,10,1,1
ROLD059,W,4,30,0.7
ROLD059,W,9,1,1
ROLD059,AN,10,1,1
ROLD059,AN,4,30,0.7
ROLD059,AN,9,1,1
ROLD059,BN,10,1,1
ROLD059,BN,4,30,0.7
ROLD059,BN,9,1,1
ROLD059,D,10,1,1
ROLD059,D,4,30,0.7
ROLD059,D,9,1,1
ROLD059,C,10,1,1
ROLD059,C,4,30,0.7
ROLD059,C,9,1,1
