location,wyt,month,date,val
# San Joaquin River at Jersey Point (D-15)(14-day running avg of daily EC)
RSAN018,W,10,1,0
RSAN018,W,4,1,0.44
RSAN018,W,6,1,0
RSAN018,AN,10,1,0
RSAN018,AN,4,1,0.44
RSAN018,AN,6,1,0
RSAN018,BN,10,1,0
RSAN018,BN,4,1,0.44
RSAN018,BN,6,1,0
RSAN018,D,10,1,0
RSAN018,D,4,1,0.44
RSAN018,D,6,1,0
RSAN018,C,10,1,0
# San Joaquin River at Prisoners Point (D-29)(14-day running avg of daily EC)
RSAN037,W,10,1,0
RSAN037,W,4,1,0.44
RSAN037,W,6,1,0
RSAN037,AN,10,1,0
RSAN037,AN,4,1,0.44
RSAN037,AN,6,1,0
RSAN037,BN,10,1,0
RSAN037,BN,4,1,0.44
RSAN037,BN,6,1,0
RSAN037,D,10,1,0
RSAN037,D,4,1,0.44
RSAN037,D,6,1,0
RSAN037,C,10,1,0
