location,wyt,month,date,val
# monthly average of daily-max EC (or average of 2 high-tides)
# Sacramento at Collinsville (C-2)
RSAC081,W,10,1,19
RSAC081,W,11,1,15.5
RSAC081,W,1,1,12.5
RSAC081,W,2,1,8
RSAC081,W,4,1,11
RSAC081,W,6,1,0
RSAC081,AN,10,1,19
RSAC081,AN,11,1,15.5
RSAC081,AN,1,1,12.5
RSAC081,AN,2,1,8
RSAC081,AN,4,1,11
RSAC081,AN,6,1,0
RSAC081,BN,10,1,19
RSAC081,BN,11,1,15.5
RSAC081,BN,1,1,12.5
RSAC081,BN,2,1,8
RSAC081,BN,4,1,11
RSAC081,BN,6,1,0
RSAC081,D,10,1,19
RSAC081,D,11,1,15.5
RSAC081,D,1,1,12.5
RSAC081,D,2,1,8
RSAC081,D,4,1,11
RSAC081,D,6,1,0
RSAC081,C,10,1,19
RSAC081,C,11,1,15.5
RSAC081,C,1,1,12.5
RSAC081,C,2,1,8
RSAC081,C,4,1,11
RSAC081,C,6,1,0
# Montezuma Slough at National Steel (S-64)
SLMZU025,W,10,1,19
SLMZU025,W,11,1,15.5
SLMZU025,W,1,1,12.5
SLMZU025,W,2,1,8
SLMZU025,W,4,1,11
SLMZU025,W,6,1,0
SLMZU025,AN,10,1,19
SLMZU025,AN,11,1,15.5
SLMZU025,AN,1,1,12.5
SLMZU025,AN,2,1,8
SLMZU025,AN,4,1,11
SLMZU025,AN,6,1,0
SLMZU025,BN,10,1,19
SLMZU025,BN,11,1,15.5
SLMZU025,BN,1,1,12.5
SLMZU025,BN,2,1,8
SLMZU025,BN,4,1,11
SLMZU025,BN,6,1,0
SLMZU025,D,10,1,19
SLMZU025,D,11,1,15.5
SLMZU025,D,1,1,12.5
SLMZU025,D,2,1,8
SLMZU025,D,4,1,11
SLMZU025,D,6,1,0
SLMZU025,C,10,1,19
SLMZU025,C,11,1,15.5
SLMZU025,C,1,1,12.5
SLMZU025,C,2,1,8
SLMZU025,C,4,1,11
SLMZU025,C,6,1,0
# Montezuma Slough near Beldon Landing (S-49)
SLMZU011,W,10,1,19
SLMZU011,W,11,1,15.5
SLMZU011,W,1,1,12.5
SLMZU011,W,2,1,8
SLMZU011,W,4,1,11
SLMZU011,W,6,1,0
SLMZU011,AN,10,1,19
SLMZU011,AN,11,1,15.5
SLMZU011,AN,1,1,12.5
SLMZU011,AN,2,1,8
SLMZU011,AN,4,1,11
SLMZU011,AN,6,1,0
SLMZU011,BN,10,1,19
SLMZU011,BN,11,1,15.5
SLMZU011,BN,1,1,12.5
SLMZU011,BN,2,1,8
SLMZU011,BN,4,1,11
SLMZU011,BN,6,1,0
SLMZU011,D,10,1,19
SLMZU011,D,11,1,15.5
SLMZU011,D,1,1,12.5
SLMZU011,D,2,1,8
SLMZU011,D,4,1,11
SLMZU011,D,6,1,0
SLMZU011,C,10,1,19
SLMZU011,C,11,1,15.5
SLMZU011,C,1,1,12.5
SLMZU011,C,2,1,8
SLMZU011,C,4,1,11
SLMZU011,C,6,1,0
# Chadbourne Slough at Sunrise Duck Club (S21)
SLCBN002,W,10,1,19
SLCBN002,W,11,1,16.5
SLCBN002,W,12,1,15.5
SLCBN002,W,1,1,12.5
SLCBN002,W,2,1,8
SLCBN002,W,4,1,11
SLCBN002,W,6,1,0
SLCBN002,AN,10,1,19
SLCBN002,AN,11,1,16.5
SLCBN002,AN,12,1,15.5
SLCBN002,AN,1,1,12.5
SLCBN002,AN,2,1,8
SLCBN002,AN,4,1,11
SLCBN002,AN,6,1,0
SLCBN002,BN,10,1,19
SLCBN002,BN,11,1,16.5
SLCBN002,BN,12,1,15.5
SLCBN002,BN,1,1,12.5
SLCBN002,BN,2,1,8
SLCBN002,BN,4,1,11
SLCBN002,BN,6,1,0
SLCBN002,D,10,1,19
SLCBN002,D,11,1,16.5
SLCBN002,D,12,1,15.5
SLCBN002,D,1,1,12.5
SLCBN002,D,2,1,8
SLCBN002,D,4,1,11
SLCBN002,D,6,1,0
SLCBN002,C,10,1,19
SLCBN002,C,11,1,16.5
SLCBN002,C,12,1,15.5
SLCBN002,C,1,1,12.5
SLCBN002,C,2,1,8
SLCBN002,C,4,1,11
SLCBN002,C,6,1,0
# Volanti Slough (S-42)
SLSUS012,W,10,1,19
SLSUS012,W,11,1,16.5
SLSUS012,W,12,1,15.5
SLSUS012,W,1,1,12.5
SLSUS012,W,2,1,8
SLSUS012,W,4,1,11
SLSUS012,W,6,1,0
SLSUS012,AN,10,1,19
SLSUS012,AN,11,1,16.5
SLSUS012,AN,12,1,15.5
SLSUS012,AN,1,1,12.5
SLSUS012,AN,2,1,8
SLSUS012,AN,4,1,11
SLSUS012,AN,6,1,0
SLSUS012,BN,10,1,19
SLSUS012,BN,11,1,16.5
SLSUS012,BN,12,1,15.5
SLSUS012,BN,1,1,12.5
SLSUS012,BN,2,1,8
SLSUS012,BN,4,1,11
SLSUS012,BN,6,1,0
SLSUS012,D,10,1,19
SLSUS012,D,11,1,16.5
SLSUS012,D,12,1,15.5
SLSUS012,D,1,1,12.5
SLSUS012,D,2,1,8
SLSUS012,D,4,1,11
SLSUS012,D,6,1,0
SLSUS012,C,10,1,19
SLSUS012,C,11,1,16.5
SLSUS012,C,12,1,15.5
SLSUS012,C,1,1,12.5
SLSUS012,C,2,1,8
SLSUS012,C,4,1,11
SLSUS012,C,6,1,0
