location,wyt,month,date,val
# Contra Costa Canal (C-5)(daily Chloride)
ROLD024,W,10,1,250
ROLD024,AN,10,1,250
ROLD024,BN,10,1,250
ROLD024,D,10,1,250
ROLD024,C,10,1,250
# Banks Export (C-9)(daily Chloride)
CHSWP003,W,10,1,250
CHSWP003,AN,10,1,250
CHSWP003,BN,10,1,250
CHSWP003,D,10,1,250
CHSWP003,C,10,1,250
# Tracy Export (DMC-1)(daily Chloride)
CHDMC006,W,10,1,250
CHDMC006,AN,10,1,250
CHDMC006,BN,10,1,250
CHDMC006,D,10,1,250
CHDMC006,C,10,1,250
# Barker Slough (SLSAR3)(daily Chloride)
SLBAR002,W,10,1,250
SLBAR002,AN,10,1,250
SLBAR002,BN,10,1,250
SLBAR002,D,10,1,250
SLBAR002,C,10,1,250
# Cache Slough at Vallejo (C-19)(daily Chloride)
SLCCH016,W,10,1,250
SLCCH016,AN,10,1,250
SLCCH016,BN,10,1,250
SLCCH016,D,10,1,250
SLCCH016,C,10,1,250
