# Combined output locations from,
# DSM2_ResultsDatabase_EC_Monthly_SWRCBHearing_May201.xlsm,
Location,ID
# SAC
Sacramento River at Emmaton,RSAC092
Sacramento River at Collinsville,RSAC081
# SJR
San Joaquin River at Vernalis,RSAN112
San Joaquin River at Brandt Bridge,RSAN072
San Joaquin River at Prisoners Point,RSAN037
San Joaquin River at San Andreas Landing,RSAN032
San Joaquin River at Jersey Point,RSAN018
San Joaquin River at Antioch,RSAN007
South Fork Mokelumne River at Terminous,RSMKL008
Mokelumne River,RMKL005
# South Delta
Old River at Rock Slough,ROLD024
Old River at Highway 4,ROLD034
Old River at Tracy Road,ROLD059
Old River near Middle River,OLD_MID
Old River at Clifton Court Forebay,CHSWP003
Delta Mendota Canal at Tracy Pumping Plant,CHDMC006
# Suisun
Beldon Landing,SLMZU011
National Steel,SLMZU025
Sunrise Duck Club,SLCBN002
Volanti,SLSUS012
# misc
Barker Slough,SLBAR002
Cache Slough at Vallejo,SLCCH016
