,scenario_name,month,value
0,alternative,1,363.68495515360684
1,alternative,2,426.3417167034331
2,alternative,3,384.2579777189202
3,alternative,4,297.33157814998924
4,alternative,5,231.887522990807
5,alternative,6,201.9813586622441
6,alternative,7,193.1427842532848
7,alternative,8,190.45886716838262
8,alternative,9,191.2794222248928
9,alternative,10,194.14694797572344
10,alternative,11,212.19076734215787
11,alternative,12,293.6962350273507
12,baseline,1,410.6126797272859
13,baseline,2,486.94567654245054
14,baseline,3,437.873840389369
15,baseline,4,327.2832360975769
16,baseline,5,241.13916070299442
17,baseline,6,203.21240088258895
18,baseline,7,193.22266776074684
19,baseline,8,190.61998736236782
20,baseline,9,191.5628426803057
21,baseline,10,196.38793940179676
22,baseline,11,228.6953871023409
23,baseline,12,322.91159690875037
