,STATION_FILE_FOLDER,STATION,POR_YEAR_FOLDER,FILE_NAME_BASE,FILE_NAME_ALIAS,PLOT_FILE_NAME,TABLE_FILE_NAME,REPORT_FILE_NAME
0,01N04E36Q001M/2005/GW_DEPTH_MONTHLY_MINMAX,01N04E36Q001M,2005,GW_DEPTH_MONTHLY_MINMAX,Groundwater Depth Monthly Minimum-Maximum (ft),GW_DEPTH_MONTHLY_MINMAX_PLOT.PNG,GW_DEPTH_MONTHLY_MINMAX_DATA.CSV,
6470,01N04E36Q001M/2005/GW_DEPTH_POINT,01N04E36Q001M,2005,GW_DEPTH_POINT,Groundwater Depth (ft),GW_DEPTH_POINT_PLOT.PNG,GW_DEPTH_POINT_DATA.CSV,
12898,01N04E36Q001M/2005/GW_ELEVATION_MONTHLY_MINMAX,01N04E36Q001M,2005,GW_ELEVATION_MONTHLY_MINMAX,Groundwater Elevation Monthly Minimum-Maximum (ft),GW_ELEVATION_MONTHLY_MINMAX_PLOT.PNG,GW_ELEVATION_MONTHLY_MINMAX_DATA.CSV,
19347,01N04E36Q001M/2005/GW_ELEVATION_POINT,01N04E36Q001M,2005,GW_ELEVATION_POINT,Groundwater Elevation (ft),GW_ELEVATION_POINT_PLOT.PNG,GW_ELEVATION_POINT_DATA.CSV,
25842,01N04E36Q001M/2005/GW_TEMPERATURE_POINT,01N04E36Q001M,2005,GW_TEMPERATURE_POINT,Groundwater Temperature (F),GW_TEMPERATURE_POINT_PLOT.PNG,,
26326,01N04E36Q001M/2005/WATER_TEMPERATURE_POINT,01N04E36Q001M,2005,WATER_TEMPERATURE_POINT,Water Temperature,WATER_TEMPERATURE_POINT_PLOT.PNG,WATER_TEMPERATURE_POINT_DATA.CSV,
34804,09N03E08C004M/1991/GROUND_SURFACE_DISPLACEMENT_MONTHLY_MINMAX,09N03E08C004M,1991,GROUND_SURFACE_DISPLACEMENT_MONTHLY_MINMAX,Ground Surface Displacement Monthly Minimum-Maximum (ft),GROUND_SURFACE_DISPLACEMENT_MONTHLY_MINMAX_PLOT.PNG,GROUND_SURFACE_DISPLACEMENT_MONTHLY_MINMAX_DATA.CSV,
35008,09N03E08C004M/1991/GROUND_SURFACE_DISPLACEMENT_POINT,09N03E08C004M,1991,GROUND_SURFACE_DISPLACEMENT_POINT,Ground Surface Displacement (ft),GROUND_SURFACE_DISPLACEMENT_POINT_PLOT.PNG,,
35225,11N01E24Q008M/1994/AIR_TEMPERATURE_POINT,11N01E24Q008M,1994,AIR_TEMPERATURE_POINT,Air Temperature (F),AIR_TEMPERATURE_POINT_PLOT.PNG,,
35251,12N02E23H001M/2010/CONDUCTIVITY_POINT,12N02E23H001M,2010,CONDUCTIVITY_POINT,Conductivity (uS/cm),CONDUCTIVITY_POINT_PLOT.PNG,CONDUCTIVITY_POINT_DATA.CSV,
36926,A00268/1985/FLOW_15-MINUTE,A00268,1985,FLOW_15-MINUTE,Flow 15-Minute Data (cfs),,FLOW_15-MINUTE_DATA_DATA.CSV,
38975,A00268/1985/FLOW_DAILY_MEAN,A00268,1985,FLOW_DAILY_MEAN,Flow Daily Mean (cfs),FLOW_DAILY_MEAN_PLOT.PNG,FLOW_DAILY_MEAN_DATA.CSV,FLOW_DAILY_MEAN_REPORT.TXT
42356,A00268/1985/FLOW_DAILY_MINMAX,A00268,1985,FLOW_DAILY_MINMAX,Flow Daily Minimum-Maximum (cfs),FLOW_DAILY_MINMAX_PLOT.PNG,FLOW_DAILY_MINMAX_DATA.CSV,
44044,A00268/1985/STAGE_15-MINUTE,A00268,1985,STAGE_15-MINUTE,Stage 15-Minute Data (ft),,STAGE_15-MINUTE_DATA_DATA.CSV,
47860,A00268/1985/STAGE_DAILY_MEAN,A00268,1985,STAGE_DAILY_MEAN,Stage Daily Mean (ft),STAGE_DAILY_MEAN_PLOT.PNG,STAGE_DAILY_MEAN_DATA.CSV,STAGE_DAILY_MEAN_REPORT.TXT
52476,A00268/1985/STAGE_DAILY_MINMAX,A00268,1985,STAGE_DAILY_MINMAX,Stage Daily Minimum and Maximum (ft),STAGE_DAILY_MINMAX_PLOT.PNG,STAGE_DAILY_MINMAX_DATA.CSV,
56325,A02939/2006/ADCP_WATER_TEMPERATURE_POINT,A02939,2006,ADCP_WATER_TEMPERATURE_POINT,Water Temperature,ADCP_WATER_TEMPERATURE_POINT_PLOT.PNG,ADCP_WATER_TEMPERATURE_POINT_DATA.CSV,
56695,A02939/2007/VELOCITY,A02939,2007,VELOCITY,Velocity 15-Minute Data (ft/s),VELOCITY_PLOT.PNG,VELOCITY_DATA.CSV,
57019,A05165_ND/2003/TURBIDITY_POINT,A05165_ND,2003,TURBIDITY_POINT,Turbidity (NTU),TURBIDITY_POINT_PLOT.PNG,TURBIDITY_POINT_DATA.CSV,
57656,A0D82120386/2013/PRACTICAL_SALINITY_PSS-15_POINT,A0D82120386,2013,PRACTICAL_SALINITY_PSS-15_POINT,Salinity (PSS-15),PRACTICAL_SALINITY_PSS-15_POINT_PLOT.PNG,PRACTICAL_SALINITY_PSS-15_POINT_DATA.CSV,
58069,A0D82120386/2013/TOTAL_CHLOROPHYLL_POINT,A0D82120386,2013,TOTAL_CHLOROPHYLL_POINT,Total Chlorophyll,TOTAL_CHLOROPHYLL_POINT_PLOT.PNG,TOTAL_CHLOROPHYLL_POINT_DATA.CSV,
58452,A0D82120386/2014/OXYGEN_DISSOLVED_POINT,A0D82120386,2014,OXYGEN_DISSOLVED_POINT,Dissolved Oxygen (mg/l),OXYGEN_DISSOLVED_POINT_PLOT.PNG,OXYGEN_DISSOLVED_POINT_DATA.CSV,
59030,A0D82120386/2014/PERCENTAGE_DISSOLVED_OXYGEN_POINT,A0D82120386,2014,PERCENTAGE_DISSOLVED_OXYGEN_POINT,Percent Dissolved Oxygen,PERCENTAGE_DISSOLVED_OXYGEN_POINT_PLOT.PNG,PERCENTAGE_DISSOLVED_OXYGEN_POINT_DATA.CSV,
59533,A0D82120386/2014/PH_POINT,A0D82120386,2014,PH_POINT,pH (pH units),PH_POINT_PLOT.PNG,PH_POINT_DATA.CSV,
60036,B0702000/2005/DISSOLVED_ORGANIC_CARBON_MEAN,B0702000,2005,DISSOLVED_ORGANIC_CARBON_MEAN,Dissolved Organic Carbon,DISSOLVED_ORGANIC_CARBON_MEAN_PLOT.PNG,,
60116,B0702000/2005/DISSOLVED_ORGANIC_CARBON_POINT,B0702000,2005,DISSOLVED_ORGANIC_CARBON_POINT,Dissolved Organic Carbon,,DISSOLVED_ORGANIC_CARBON_POINT_DATA.CSV,
60191,B0702000/2005/TOTAL_ORGANIC_CARBON_MEAN,B0702000,2005,TOTAL_ORGANIC_CARBON_MEAN,Total Organic Carbon,TOTAL_ORGANIC_CARBON_MEAN_PLOT.PNG,,
60271,B0702000/2005/TOTAL_ORGANIC_CARBON_POINT,B0702000,2005,TOTAL_ORGANIC_CARBON_POINT,Total Organic Carbon,,TOTAL_ORGANIC_CARBON_POINT_DATA.CSV,
60346,B0702000/2006/BROMIDE_MEAN,B0702000,2006,BROMIDE_MEAN,Bromide,BROMIDE_MEAN_PLOT.PNG,,
60399,B0702000/2006/BROMIDE_POINT,B0702000,2006,BROMIDE_POINT,Bromide,,BROMIDE_POINT_DATA.CSV,
60448,B0702000/2006/CHLORIDE_MEAN,B0702000,2006,CHLORIDE_MEAN,Chloride,CHLORIDE_MEAN_PLOT.PNG,,
60501,B0702000/2006/CHLORIDE_POINT,B0702000,2006,CHLORIDE_POINT,Chloride,,CHLORIDE_POINT_DATA.CSV,
60567,B0702000/2006/NITRATE_MEAN,B0702000,2006,NITRATE_MEAN,Nitrate (mg/l),NITRATE_MEAN_PLOT.PNG,,
60620,B0702000/2006/NITRATE_POINT,B0702000,2006,NITRATE_POINT,Nitrate (mg/l),,NITRATE_POINT_DATA.CSV,
60669,B0702000/2006/SULFATE_MEAN,B0702000,2006,SULFATE_MEAN,Sulfate (mg/l),SULFATE_MEAN_PLOT.PNG,,
60722,B0702000/2006/SULFATE_POINT,B0702000,2006,SULFATE_POINT,Sulfate (mg/l),,SULFATE_POINT_DATA.CSV,
60771,B95503/2003/CONDUCTIVITY_MULTIMETER_POINT,B95503,2003,CONDUCTIVITY_MULTIMETER_POINT,Conductivity Multimeter (uS/cm),CONDUCTIVITY_MULTIMETER_POINT_PLOT.PNG,CONDUCTIVITY_MULTIMETER_POINT_DATA.CSV,
60777,B95503/2003/OXYGEN_DISSOLVED_MULTIMETER_POINT,B95503,2003,OXYGEN_DISSOLVED_MULTIMETER_POINT,Dissolved Oxygen Multimeter (mg/l),OXYGEN_DISSOLVED_MULTIMETER_POINT_PLOT.PNG,OXYGEN_DISSOLVED_MULTIMETER_POINT_DATA.CSV,
60783,B95503/2003/PERCENTAGE_DISSOLVED_OXYGEN_MULTIMETER_POINT,B95503,2003,PERCENTAGE_DISSOLVED_OXYGEN_MULTIMETER_POINT,Dissolved Oxygen Multimeter (mg/l),PERCENTAGE_DISSOLVED_OXYGEN_MULTIMETER_POINT_PLOT.PNG,PERCENTAGE_DISSOLVED_OXYGEN_MULTIMETER_POINT_DATA.CSV,
60789,B95503/2003/TURBIDITY_MULTIMETER_POINT,B95503,2003,TURBIDITY_MULTIMETER_POINT,Turbidity Multimeter (NTU),TURBIDITY_MULTIMETER_POINT_PLOT.PNG,TURBIDITY_MULTIMETER_POINT_DATA.CSV,
